Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29
출산/육아,50000005,아동운동화,4330.0,50.7,높음,9.53697,7.53282,10.36627,13.54526,12.92328,15.4803,13.47615,14.23635,7.74015,9.19143,11.4029,13.54526,8.84588,9.74429,7.87836,8.56945,11.19557,9.46786,12.85418,10.98825,7.18728,8.91499,5.32135,7.74015,10.08984,9.88251,9.46786,7.25639,7.25639,6.5653
출산/육아,50000005,몽디에스,56750.0,83.0,높음,76.89299,61.85567,62.17561,81.3011,100.0,93.24564,95.0231,72.91148,60.46924,47.56487,60.11375,71.6317,73.69356,72.20049,66.61926,52.15072,42.41023,49.73338,66.08602,64.80625,81.40774,64.73515,58.58514,42.90792,52.93281,73.83576,72.23604,72.30714,59.54496,47.95591
출산/육아,50000005,캉골키즈점퍼,7110.0,5.3,중간,4.2659,5.65232,6.18556,8.35407,7.35869,9.06505,9.59829,8.46071,5.01244,6.36331,8.67401,8.49626,19.76537,10.20263,10.06043,9.06505,9.0295,9.06505,16.99253,10.77141,6.61215,5.54568,5.65232,5.54568,9.27835,9.20725,6.7899,6.6477,5.47458,4.79914
출산/육아,50000005,셀프수유쿠션,6710.0,79.3,높음,7.35869,7.28759,7.00319,7.18094,10.62922,8.56736,9.77603,9.27835,8.60291,7.07429,6.861,9.74049,7.96302,7.42979,7.78528,6.6477,4.44365,7.39424,6.9321,7.82083,8.49626,7.42979,6.861,6.04337,6.96765,7.28759,8.03412,9.95378,9.52719,8.53181
출산/육아,50000005,프렌치캣코트,1920.0,1.0,높음,3.30607,3.44827,3.05723,3.98151,3.87486,3.34162,2.3107,2.45289,1.31532,2.0263,2.38179,2.20405,1.59971,9.49164,3.94596,1.31532,1.52861,1.24422,1.10202,0.78208,0.99537,0.92428,1.27977,0.67543,0.95982,1.13757,0.67543,0.81763,1.27977,0.74653
출산/육아,50000005,뉴발란스키즈점퍼,5560.0,2.0,높음,4.65694,5.26128,7.50088,7.00319,6.861,7.60753,9.56274,9.1006,7.96302,8.49626,10.98471,9.42054,8.78066,7.03874,7.39424,6.25666,6.96765,7.14539,5.93672,6.96765,4.37255,4.12371,3.59047,3.44827,5.26128,5.08354,4.72804,4.5503,3.27052,3.66157
출산/육아,50000005,뉴발란스키즈530,10280.0,143.3,높음,26.06324,31.18865,36.31406,39.91275,35.1145,29.55288,35.5507,28.02617,26.49945,38.16793,41.76663,33.15158,33.36968,35.1145,36.42311,32.93347,37.18647,50.16357,45.14721,56.48854,32.71537,37.40458,30.6434,36.09596,42.74809,40.78516,39.04034,37.29552,31.95201,25.84514
출산/육아,50000005,베베숲시그니처블루,11810.0,82.9,높음,43.40239,49.50926,45.47437,74.91821,100.0,76.99018,52.01744,53.43511,41.22137,32.82442,39.3675,44.2748,48.74591,31.73391,30.53435,36.09596,33.15158,34.78735,37.62268,30.8615,33.15158,34.46019,46.34678,25.62704,38.16793,48.85496,39.25845,33.04252,32.38822,27.80806
출산/육아,50000005,초등학교책가방,2160.0,26.0,높음,24.42748,19.73827,17.4482,23.11886,23.88222,15.26717,13.6314,9.59651,10.46892,7.41548,5.01635,7.96074,6.32497,6.21592,5.67066,4.9073,3.92584,3.92584,4.36205,4.25299,4.6892,4.9073,3.81679,2.29007,2.50817,3.38058,3.92584,2.94438,4.9073,2.61723
출산/육아,50000005,여아발레복,5550.0,283.5,높음,21.9193,19.41112,20.82878,26.6085,28.02617,32.27917,32.17011,26.71755,24.86368,20.17448,17.77535,23.33696,25.40894,23.44601,20.28353,17.6663,17.8844,13.8495,15.70338,18.75681,16.03053,18.21155,14.17666,15.15812,12.75899,14.61286,18.75681,16.24863,16.46673,13.6314
출산/육아,50000005,키즈숏패딩,2370.0,26.9,높음,12.54089,13.4133,12.97709,16.57579,19.52017,19.08396,16.13958,15.04907,16.35768,10.46892,9.48745,15.81243,14.06761,16.13958,8.06979,4.79825,2.29007,1.96292,5.67066,6.32497,4.6892,6.76117,5.34351,1.19956,0.87241,1.30861,3.16248,0.98146,0.87241,0.87241
출산/육아,50000005,비오템튼살크림,14530.0,153.20000000000002,높음,60.42253,64.92957,66.19718,69.29577,67.60563,78.87323,75.77464,75.91549,70.14084,63.09859,70.14084,76.33802,71.54929,77.46478,65.77464,55.77464,63.09859,58.4507,66.47887,67.46478,69.15492,70.56338,64.92957,53.09859,53.23943,72.67605,78.16901,66.9014,71.54929,60.84507
